הֶעָרָה	comment, remark
הוֹרָאָה	order, instruction; teaching
הוֹדָעָה	message, notice

נָחָשׁ	snake
לָחַשׁ	he whispered
חָשַׁשׁ	he feared
חַלָּשׁ	weak

שֵׂיעָר	hair
שְׁאָר	rest, remainder
שַׁעַר	gate; exchange rate
שִׁיעֵר	he assumed
שָׂעִיר	hairy

היכן	where?
אימתי	when?
כיצד	how?
מדוע	why?

לְשַׁחְרֵר	to release, free
לִשְׂרוֹד	to survive

לְהַקְלִיד	to type
לִלְחוֹץ	to press (button), click
לְהַקִּישׁ	to click, tap
לְהָזִין	to enter, feed, input

תְּנוּעָה	traffic, movement
תְּאוּנָה	accident (road)
תַּעֲנֶה	you will answer

לְשַׁדֵּרֵג	to upgrade
לְשַׁפֵּר	to improve, enhance
לְשַׁחְזֵר	to restore, reconstruct
לְחַדֵּשׁ	to renew, innovate, resume
לְשַׁקֵּם	to rehabilitate
לְשַׁפֵּץ	to renovate, refurbish

לְהַצִּיעַ	to offer, suggest, propose
לְהַמְלִיץ	to recommend, suggest, advise
לְיַעֵץ	to give advice
לְהִתְייַעֵץ	to seek advice

עֵצָה	advice
הַצָּעָה	proposal
הַמְלָצָה	recommendation
מוֹעָצָה	council

רְשׁוּת	permission; authority
הֶיתֵּר	permit (official)
אִישּׁוּר	approval, authorization
רִישָּׁיוֹן	license, permit

לִרְשׁוֹם	to write down, to register
לְהֵירָשֵׁם	to register, to enroll
לְהַרְשִׁים	to impress
לְהִתְרַשֵּׁם	to be impressed

רְשִׁימָה	list, record, entry
רָשׁוּם	registered, written
רִישׁוּם	registration, record
הַרְשָׁמָה	registration, enrollment
רוֹשֶׁם	impression

מַרְשִׁים	impressive
רִשְׁמִי	official
תַּרְשִׁים	chart, diagram, graph
מִרְשָׁם	prescription

חָלָל	space (outer, empty)
מֶרְחָב	open/wide space
אֵזוֹר	region, area, zone
רוֹבַע	district, quarter
שֶׁטַח	territory, land, surface
מִגזָר	sector (social, economic)
מָחוֹז	district, province
מִתחָם	complex, enclosed area
תְּחוּם	domain, boundary, field
רֶוַוח	space, gap, margin
פֶּלֶךְ	district, region (old-fashioned)
זִירָה	arena, scene, field

לָגֶשֶׁת	to approach; access
לְהַשִּׂיג	to obtain, achieve (goal)
לְהַגִּישׁ	to submit, serve (food), file (complaint)

לְהַשְׁקִיעַ	to invest; sink, submerge
לְהַשְׁפִּיעַ	to influence, affect, impact
לְהַשְׁמִיעַ	to make sounds, play music
לְהַפְתִּיעַ	to surprise
לְהַפְרִיעַ	to disturb

לְטַפֵּס	to climb
לִתְפּוֹס	to catch; comprehend

לַעֲקוֹב	to follow, track
לִרְדּוֹף	to chase, pursue
לַעֲקוֹף	to bypass, overtake
לַעֲבוֹר	to pass, cross, go through
לַחֲצוֹת	to cross, cut across
לַחֲלוֹף	to pass by

לְהוֹדוֹת	to admit
לְהוֹדִיעַ	to inform

לְנַחֵשׁ	to guess
לְהַנִּיחַ	to assume, to suppose
לְדַמְיֵן	to imagine
לְשַׁעֵר	to suppose, to estimate
לְהַעֲרִיךְ	to estimate

עוֹד לֹא	not yet
כְּבָר לֹא	no longer
לֹא עוֹד	no more (slogan-like)
עַד כֹּה	so far, up to now
עַד לִפְנֵי	until, up to (a past point)
עַד לָאַחֲרוֹנָה	until recently
עַד לֹא מִזְּמַן	until recently
לִפְנֵי כֵּן	before that, previously
לְאַחַר מִכֵּן	later, then
עוֹד מְעַט	soon, shortly
מִדֵּי פַּעַם	occasionally
תּוֹךְ כְּדֵי	during; while; in the process
אִם כִּי	although, even though
אַף עַל פִּי שֶׁ־	although
אַף עַל פִּי כֵן	nevertheless
בְּכָל זֹאת	nevertheless; still
עִם זֹאת	however; that said
אֶלָּא אִם כֵּן	unless
כָּל עוֹד	as long as
בֵּין אִם	whether (…or…)
יֵתֶר עַל כֵּן	moreover, furthermore
גַּם כֵּן	also, as well
כְּמוֹ כֵן	also; likewise
וְעַד כַּמָּה	and how (much), to what extent
עַל יַד	next to, near
כָּל כָּךְ	so much; so (to such a degree)
עַל מְנָת	in order to; (also) on condition that

לַחְנוֹת	to park car
לֵיהָנוֹת	to enjoy
לְהוֹנוֹת	to deceive
לְהֵיעָנוֹת	to receive an answer

לִצְחוֹק	to laugh
לִצְעוֹק	to shout, yell
לִצְרוֹחַ	to scream
לִזְעוֹק	to cry out, call out (public/dramatic)

לְהוֹסִיף	to add
לֶאֱסוֹף	to collect

הֲסָרָה	removal
חוֹסֶר	lack, absence

לִשְׁווֹת	to be equal, match
לְהַשְׁווֹת	to compare; make equal

בֶּטַח	certainly, of course
בִּיטּוּחַ	insurance
בָּטוּחַ	sure, secure

מֵידָע	information
מִידָּה	measure, scale, degree
מַדָּד	index
מַדִּים	uniform
מֵמַד	dimension
מוֹדָעָה	advertisement, announcement
יֶדַע	knowledge
מַדָּע	science

מָצוּי	common, commonly found
נָפוֹץ	widespread, prevalent
רוֹוֵחַ	popular, prevailing
שָׁכִיחַ	frequent, habitual
רָגִיל	usual, ordinary
סָדִיר	regular, systematic
תָּדִיר	frequent (formal)
תָכוּף	recurring, frequent
נָדִיר	rare, uncommon
אִי רְגִיל	unusual, out of the ordinary
חָרִיג	abnormal, exceptional (negative)
יוֹצֵא דּוֹפֶן	exceptional, extraordinary
יָחִיד בְּסוּגוֹ	one of a kind
חָסַר תַּקְדִּים	unprecedented

סָבִיר	likely, probable; reasonable
עָשׂוּי	likely (neutral or positive)
עָלוּל	likely (negative or undesirable)
צָפוּי	expected (anticipated outcome)
